Baby,Time,Duration(minutes),Note
Molly,"16/09/2015, 21:41",604
Molly,"17/09/2015, 08:42",57
Molly,"17/09/2015, 11:31",30
Molly,"17/09/2015, 12:54",65
Molly,"17/09/2015, 15:15",35
Molly,"17/09/2015, 17:03",73
Molly,"17/09/2015, 20:49",571
Molly,"18/09/2015, 06:40",114
Molly,"18/09/2015, 09:55",17
Molly,"18/09/2015, 11:29",46
Molly,"18/09/2015, 14:11",34
Molly,"18/09/2015, 15:40",78
Molly,"18/09/2015, 18:48",23
Molly,"18/09/2015, 21:40",609
Molly,"19/09/2015, 08:10",88
Molly,"19/09/2015, 11:07",110
Molly,"19/09/2015, 14:41",40
Molly,"19/09/2015, 17:19",10
Molly,"19/09/2015, 18:19",30
Molly,"19/09/2015, 21:19",516
Molly,"20/09/2015, 06:14",182
Molly,"20/09/2015, 10:52",34
Molly,"20/09/2015, 13:03",24
Molly,"20/09/2015, 15:26",31
Molly,"20/09/2015, 16:09",68
Molly,"20/09/2015, 19:13",10
Molly,"20/09/2015, 21:23",616
Molly,"21/09/2015, 07:57",63
Molly,"21/09/2015, 10:29",14
Molly,"21/09/2015, 11:37",44
Molly,"21/09/2015, 13:32",108
Molly,"21/09/2015, 16:23",28
Molly,"21/09/2015, 19:13",31
Molly,"21/09/2015, 21:25",605
Molly,"22/09/2015, 07:48",149
Molly,"22/09/2015, 11:52",32
Molly,"22/09/2015, 13:55",31
Molly,"22/09/2015, 15:36",89
Molly,"22/09/2015, 18:59",16
Molly,"22/09/2015, 22:02",441
Molly,"23/09/2015, 05:35",186
Molly,"23/09/2015, 11:23",56
Molly,"23/09/2015, 13:40",87
Molly,"23/09/2015, 16:41",17
Molly,"23/09/2015, 18:43",53
Molly,"23/09/2015, 20:30",623
Molly,"24/09/2015, 07:09",53
Molly,"24/09/2015, 09:20",38
Molly,"24/09/2015, 11:20",33
Molly,"24/09/2015, 13:03",46
Molly,"24/09/2015, 15:17",39
Molly,"24/09/2015, 17:26",40
Molly,"24/09/2015, 19:56",31
Molly,"24/09/2015, 22:12",482
Molly,"25/09/2015, 06:30",71
Molly,"25/09/2015, 09:32",38
Molly,"25/09/2015, 11:36",106
Molly,"25/09/2015, 15:16",27
Molly,"25/09/2015, 17:59",30
Molly,"25/09/2015, 21:11",552
Molly,"26/09/2015, 06:46",62
Molly,"26/09/2015, 09:13",94
Molly,"26/09/2015, 12:58",29
Molly,"26/09/2015, 15:06",72
Molly,"26/09/2015, 17:57",28
Molly,"26/09/2015, 20:22",39
Molly,"26/09/2015, 21:59",560
Molly,"27/09/2015, 07:37",28
Molly,"27/09/2015, 09:24",55
Molly,"27/09/2015, 12:05",60
Molly,"27/09/2015, 15:20",44
Molly,"27/09/2015, 18:00",63
Molly,"27/09/2015, 20:21",186
Molly,"27/09/2015, 23:50",339
Molly,"28/09/2015, 05:45",125
Molly,"28/09/2015, 09:43",141
Molly,"28/09/2015, 13:47",31
Molly,"28/09/2015, 16:25",23
Molly,"28/09/2015, 18:07",175
Molly,"28/09/2015, 21:59",338
Molly,"29/09/2015, 03:51",228
Molly,"29/09/2015, 07:55",64
Molly,"29/09/2015, 10:39",47
Molly,"29/09/2015, 12:52",31
Molly,"29/09/2015, 15:42",27
Molly,"29/09/2015, 17:29",43
Molly,"29/09/2015, 18:37",158
Molly,"29/09/2015, 22:16",300
Molly,"30/09/2015, 03:34",232
Molly,"30/09/2015, 07:36",75
Molly,"30/09/2015, 08:59",12
Molly,"30/09/2015, 09:17",15
Molly,"30/09/2015, 11:48",27
Molly,"30/09/2015, 13:13",30
Molly,"30/09/2015, 15:58",139
Molly,"30/09/2015, 19:47",27
Molly,"30/09/2015, 21:54",139
Molly,"01/10/2015, 01:00",372
Molly,"01/10/2015, 07:29",124
Molly,"01/10/2015, 11:24",58
Molly,"01/10/2015, 14:03",26
Molly,"01/10/2015, 16:31",24
Molly,"01/10/2015, 17:30",8
Molly,"01/10/2015, 19:12",47
Molly,"01/10/2015, 20:41",326
Molly,"02/10/2015, 02:22",263
Molly,"02/10/2015, 07:02",119
Molly,"02/10/2015, 10:07",28
Molly,"02/10/2015, 12:53",39
Molly,"02/10/2015, 14:41",40
Molly,"02/10/2015, 17:15",26
Molly,"02/10/2015, 19:00",89
Molly,"02/10/2015, 21:20",324
Molly,"03/10/2015, 02:59",206
Molly,"03/10/2015, 07:04",111
Molly,"03/10/2015, 11:18",71
Molly,"03/10/2015, 14:33",56
Molly,"03/10/2015, 17:19",12
Molly,"03/10/2015, 20:00",35
Molly,"03/10/2015, 21:50",199
Molly,"04/10/2015, 01:34",383
Molly,"04/10/2015, 09:40",32
Molly,"04/10/2015, 12:30",22
Molly,"04/10/2015, 14:05",107
Molly,"04/10/2015, 17:41",21
Molly,"04/10/2015, 20:42",226
Molly,"05/10/2015, 00:41",248
Molly,"05/10/2015, 05:02",129
Molly,"05/10/2015, 07:28",63
Molly,"05/10/2015, 10:05",40
Molly,"05/10/2015, 13:28",13
Molly,"05/10/2015, 15:37",71
Molly,"05/10/2015, 18:02",143
Molly,"05/10/2015, 22:36",162
Molly,"06/10/2015, 01:51",369
Molly,"06/10/2015, 08:25",68
Molly,"06/10/2015, 11:06",37
Molly,"06/10/2015, 13:27",30
Molly,"06/10/2015, 15:37",76
Molly,"06/10/2015, 18:42",34
Molly,"06/10/2015, 21:24",180
Molly,"07/10/2015, 00:48",273
Molly,"07/10/2015, 05:36",194
Molly,"07/10/2015, 10:58",39
Molly,"07/10/2015, 13:44",65
Molly,"07/10/2015, 16:32",42
Molly,"07/10/2015, 18:45",6
Molly,"07/10/2015, 20:30",24
Molly,"07/10/2015, 21:00",182
Molly,"08/10/2015, 00:16",66
Molly,"08/10/2015, 01:55",167
Molly,"08/10/2015, 04:59",167
Molly,"08/10/2015, 07:55",6
Molly,"08/10/2015, 08:08",62
Molly,"08/10/2015, 11:00",117
Molly,"08/10/2015, 14:54",25
Molly,"08/10/2015, 16:51",95
Molly,"08/10/2015, 20:36",45
Molly,"08/10/2015, 21:36",173
Molly,"09/10/2015, 00:37",16
Molly,"09/10/2015, 01:19",263
Molly,"09/10/2015, 06:00",172
Molly,"09/10/2015, 09:06",24
Molly,"09/10/2015, 10:56",27
Molly,"09/10/2015, 12:56",35
